Trade Date	Trade Type	Short Name	Future Expiry	Strike	Call/Put	Quantity	Vol	Premium	Futures Price
12/09/2025 12:19:17	Delta Option Trade	YMAZ	Jul26	3400	P	40	19	11957	3573.1
12/09/2025 12:19:17	Delta Option Trade	WMAZ	Jul26	3400	P	40	24.75	16515	3602.275
12/09/2025 12:19:17	Delta Option Trade	YMAZ	Jul26	3700	C	40	19.5	15033	3573.1
12/09/2025 12:19:17	Delta Option Trade	WMAZ	Jul26	3700	C	40	25.25	22375	3602.275
12/09/2025 12:05:48	Delta Option Trade	WMAZ	Jul26	3600	P	30	24.75	25755	3607
12/09/2025 12:05:48	Delta Option Trade	WMAZ	Jul26	3600	C	30	24.75	26455	3607
12/09/2025 11:44:27	Delta Option Trade	YMAZ	Mar26	3800	C	10	21.25	6114	3588
12/09/2025 11:24:07	Delta Option Trade	YMAZ	Mar26	3760	C	5	21.25	7230	3588
12/09/2025 10:43:02	Delta Option Trade	YMAZ	Mar26	4180	C	25	23	1246	3579
12/09/2025 10:16:56	Delta Option Trade	WMAZ	Mar26	3660	C	2	28.75	18723	3652
12/09/2025 10:16:56	Delta Option Trade	WMAZ	Mar26	3440	P	4	28.25	9547	3652
12/09/2025 09:33:23	Delta Option Trade	WMAZ	Jul26	3700	C	2	24.76	21750	3600
